seed,regime,cycle,reminder_days,escalation_days,n_cases,escalated_fraction,late_fraction,fitness,corrections_proposed,corrections_accepted
0,baseline,0,7,14,30,0.26666666666666666,0.6666666666666666,0.8311111111111114,1,0
0,baseline,1,7,14,30,0.3,0.8,0.8000000000000003,1,0
0,baseline,2,7,14,30,0.36666666666666664,0.6,0.8311111111111112,1,0
0,baseline,3,7,14,30,0.23333333333333334,0.8333333333333334,0.8022222222222226,1,0
0,baseline,4,7,14,30,0.36666666666666664,0.6666666666666666,0.8177777777777782,1,0
0,baseline,5,7,14,30,0.3,0.6666666666666666,0.8266666666666669,1,0
0,adaptive,0,7,14,30,0.26666666666666666,0.6666666666666666,0.8311111111111114,1,1
0,adaptive,1,7,17,30,0.26666666666666666,0.8,0.8044444444444446,1,1
0,adaptive,2,7,20,30,0.23333333333333334,0.6,0.848888888888889,1,1
0,adaptive,3,7,23,30,0.1,0.8333333333333334,0.8200000000000003,1,1
0,adaptive,4,9,23,30,0.13333333333333333,0.6,0.8622222222222224,1,1
0,adaptive,5,11,23,30,0.13333333333333333,0.4,0.9022222222222225,1,1
1,baseline,0,7,14,30,0.2,0.6666666666666666,0.8400000000000003,1,0
1,baseline,1,7,14,30,0.3333333333333333,0.7666666666666667,0.8022222222222225,1,0
1,baseline,2,7,14,30,0.5,0.8666666666666667,0.7600000000000002,1,0
1,baseline,3,7,14,30,0.13333333333333333,0.6,0.8622222222222224,1,0
1,baseline,4,7,14,30,0.4666666666666667,0.8,0.7777777777777781,1,0
1,baseline,5,7,14,30,0.4,0.7333333333333333,0.8000000000000004,1,0
1,adaptive,0,7,14,30,0.2,0.6666666666666666,0.8400000000000003,1,1
1,adaptive,1,7,17,30,0.26666666666666666,0.7666666666666667,0.8111111111111114,1,1
1,adaptive,2,7,20,30,0.3,0.8666666666666667,0.7866666666666671,1,1
1,adaptive,3,7,23,30,0.0,0.6,0.8800000000000002,1,1
1,adaptive,4,9,23,30,0.23333333333333334,0.7,0.8288888888888891,1,1
1,adaptive,5,9,26,30,0.03333333333333333,0.6333333333333333,0.8688888888888892,1,1
2,baseline,0,7,14,30,0.23333333333333334,0.43333333333333335,0.8822222222222224,1,0
2,baseline,1,7,14,30,0.36666666666666664,0.7,0.8111111111111114,1,0
2,baseline,2,7,14,30,0.36666666666666664,0.8,0.7911111111111114,1,0
2,baseline,3,7,14,30,0.4,0.7,0.806666666666667,1,0
2,baseline,4,7,14,30,0.3333333333333333,0.7333333333333333,0.8088888888888891,1,0
2,baseline,5,7,14,30,0.26666666666666666,0.7,0.8244444444444448,1,0
2,adaptive,0,7,14,30,0.23333333333333334,0.43333333333333335,0.8822222222222224,1,1
2,adaptive,1,7,17,30,0.23333333333333334,0.7,0.8288888888888891,1,1
2,adaptive,2,7,20,30,0.23333333333333334,0.8,0.8088888888888892,1,1
2,adaptive,3,7,23,30,0.2,0.7,0.8333333333333337,1,1
2,adaptive,4,7,26,30,0.1,0.7333333333333333,0.8400000000000003,1,1
2,adaptive,5,9,26,30,0.1,0.5666666666666667,0.8733333333333335,1,1
3,baseline,0,7,14,30,0.23333333333333334,0.7,0.8288888888888891,1,0
3,baseline,1,7,14,30,0.3,0.5,0.8600000000000001,1,0
3,baseline,2,7,14,30,0.3333333333333333,0.7,0.8155555555555557,1,0
3,baseline,3,7,14,30,0.3,0.7,0.8200000000000003,1,0
3,baseline,4,7,14,30,0.5666666666666667,0.7666666666666667,0.7711111111111113,1,0
3,baseline,5,7,14,30,0.4,0.7,0.8066666666666669,1,0
3,adaptive,0,7,14,30,0.23333333333333334,0.7,0.8288888888888891,1,1
3,adaptive,1,7,17,30,0.13333333333333333,0.5,0.8822222222222226,1,1
3,adaptive,2,9,17,30,0.23333333333333334,0.6333333333333333,0.8422222222222224,1,1
3,adaptive,3,9,20,30,0.23333333333333334,0.5666666666666667,0.8555555555555558,1,1
3,adaptive,4,9,23,30,0.16666666666666666,0.7,0.8377777777777781,1,1
3,adaptive,5,9,26,30,0.13333333333333333,0.6,0.8622222222222224,1,1
